fold,train_end,test_start,test_end,n_test_rows,wape_baseline,wape_model,bias_baseline,bias_model
1,2023-02-07,2023-02-28,2023-05-09,35345,0.6955798224978614,0.5287177098747473,1.9882020087706889,1.6477198602067595
2,2023-10-31,2023-11-07,2024-01-30,34814,0.7663474655670066,0.46631067087514666,-1.051100132130752,0.6533701832501826
3,2024-07-02,2024-07-09,2024-10-08,37469,0.4581558769435923,0.38637686119472464,-1.061917852091062,-1.413605299265424
4,2025-03-11,2025-04-01,2025-07-01,37881,0.526573870657696,0.40687462600633634,-3.1875874448932184,-1.8412620593687026
